time,element,bbox_px,color_hex,text,click,navigation
"11.50s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"11.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"11.50s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"11.60s","Header","(0,0,360,113)","#CB322E","","No",""
"11.60s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"11.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"11.60s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"11.60s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"11.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"11.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"11.70s","Header","(0,0,360,113)","#CB322E","","No",""
"11.70s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"11.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"11.70s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"11.70s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"11.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"11.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"11.80s","Header","(0,0,360,113)","#CB322E","","No",""
"11.80s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"11.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"11.80s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"11.80s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"11.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"11.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"11.90s","Header","(0,0,360,113)","#CB322E","","No",""
"11.90s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"11.90s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"11.90s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"11.90s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"11.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"11.90s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"12.00s","Header","(0,0,360,113)","#CB322E","","No",""
"12.00s","WhiteCard","(10,124,340,60)","#B1AAA4","","No",""
"12.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"12.00s","WhiteCard","(10,228,340,44)","#F1EEF1","","No",""
"12.00s","WhiteCard","(10,308,340,100)","#FCF9FC","","No",""
"12.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"12.00s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"12.10s","Header","(0,0,360,103)","#860003","","No",""
"12.10s","WhiteCard","(10,104,340,144)","#FFFDFF","","No",""
"12.10s","WhiteCard","(10,252,340,108)","#F5F2F5","","No",""
"12.10s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.10s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.20s","Header","(0,0,360,103)","#860003","","No",""
"12.20s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.20s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.20s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.30s","Header","(0,0,360,103)","#860003","","No",""
"12.30s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.30s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.30s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.40s","Header","(0,0,360,103)","#860003","","No",""
"12.40s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.40s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.40s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.50s","Header","(0,0,360,103)","#860003","","No",""
"12.50s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.50s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.50s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.60s","Header","(0,0,360,103)","#860003","","No",""
"12.60s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.60s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.60s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.70s","Header","(0,0,360,103)","#860003","","No",""
"12.70s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.70s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.70s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.80s","Header","(0,0,360,103)","#860003","","No",""
"12.80s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.80s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.80s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"12.90s","Header","(0,0,360,103)","#860003","","No",""
"12.90s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"12.90s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"12.90s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.00s","Header","(0,0,360,103)","#860003","","No",""
"13.00s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"13.00s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"13.00s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.10s","Header","(0,0,360,103)","#860003","","No",""
"13.10s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"13.10s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"13.10s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.20s","Header","(0,0,360,103)","#860003","","No",""
"13.20s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"13.20s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"13.20s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.30s","Header","(0,0,360,103)","#860003","","No",""
"13.30s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"13.30s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"13.30s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.40s","Header","(0,0,360,103)","#860003","","No",""
"13.40s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"13.40s","WhiteCard","(10,364,340,100)","#F3F2F4","","No",""
"13.40s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.50s","Header","(0,0,360,101)","#8A0002","","No",""
"13.50s","WhiteCard","(10,104,340,360)","#FFFDFF","","No",""
"13.50s","WhiteCard","(10,468,340,300)","#FFFDFF","","No",""
"13.60s","Header","(0,0,360,103)","#8A0002","","No",""
"13.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"13.70s","Header","(0,0,360,101)","#8A0002","","No",""
"13.70s","WhiteCard","(10,104,340,92)","#FFFDFF","","No",""
"13.70s","WhiteCard","(10,200,340,248)","#FFFDFF","","No",""
"13.70s","WhiteCard","(10,452,340,325)","#FFFDFF","","No",""
"13.80s","Header","(0,0,360,101)","#8A0002","","No",""
"13.80s","WhiteCard","(10,104,340,32)","#FEFBFE","","No",""
"13.80s","WhiteCard","(10,140,340,100)","#F3F2F4","","No",""
"13.80s","WhiteCard","(10,244,340,533)","#FFFDFF","","No",""
"13.90s","Header","(0,0,360,101)","#8A0002","","No",""
"13.90s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"14.00s","Header","(0,0,360,101)","#8A0002","","No",""
"14.00s","WhiteCard","(10,104,340,32)","#FFFDFF","","No",""
"14.00s","WhiteCard","(10,140,340,104)","#FFFDFF","","No",""
"14.00s","WhiteCard","(10,248,340,256)","#FFFDFF","","No",""
"14.00s","WhiteCard","(10,508,340,269)","#FFFDFF","","No",""
"14.10s","Header","(0,0,360,101)","#8A0002","","No",""
"14.10s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"14.10s","WhiteCard","(10,164,340,256)","#FFFDFF","","No",""
"14.10s","WhiteCard","(10,428,340,349)","#FFFDFF","","No",""
"14.20s","Header","(0,0,360,101)","#8A0002","","No",""
"14.20s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"14.30s","Header","(0,0,360,103)","#8A0002","","No",""
"14.30s","WhiteCard","(10,104,340,160)","#FFFDFF","","No",""
"14.30s","WhiteCard","(10,268,340,500)","#FFFDFF","","No",""
"14.40s","Header","(0,0,360,103)","#8A0002","","No",""
"14.40s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"14.50s","Header","(0,0,360,101)","#8A0002","","No",""
"14.50s","WhiteCard","(10,104,340,256)","#FFFDFF","","No",""
"14.50s","WhiteCard","(10,364,340,413)","#FFFDFF","","No",""
"14.60s","Header","(0,0,360,101)","#8A0002","","No",""
"14.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"14.70s","Header","(0,0,360,103)","#8A0002","","No",""
"14.70s","WhiteCard","(10,104,340,392)","#FFFDFF","","No",""
"14.70s","WhiteCard","(10,500,340,277)","#FFFDFF","","No",""
"14.80s","Header","(0,0,360,103)","#8A0002","","No",""
"14.80s","WhiteCard","(10,104,340,664)","#EFECEF","","No",""
"14.90s","Header","(0,0,360,101)","#8A0002","","No",""
"14.90s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"15.00s","Header","(0,0,360,101)","#8A0002","","No",""
"15.00s","WhiteCard","(10,104,340,208)","#FFFDFF","","No",""
"15.00s","WhiteCard","(10,316,340,461)","#FFFDFF","","No",""
"15.10s","Header","(0,0,360,101)","#8A0002","","No",""
"15.10s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"15.20s","Header","(0,0,360,101)","#8A0002","","No",""
"15.20s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"15.30s","Header","(0,0,360,101)","#8A0002","","No",""
"15.30s","WhiteCard","(10,104,340,200)","#FFFDFF","","No",""
"15.30s","WhiteCard","(10,308,340,469)","#FFFDFF","","No",""
"15.40s","Header","(0,0,360,103)","#8A0002","","No",""
"15.40s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"15.50s","Header","(0,0,360,101)","#8A0002","","No",""
"15.50s","WhiteCard","(10,104,340,673)","#F4F1F4","","No",""
"15.60s","Header","(0,0,360,101)","#8A0002","","No",""
"15.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"15.70s","Header","(0,0,360,101)","#8A0002","","No",""
"15.70s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"15.80s","Header","(0,0,360,103)","#8A0002","","No",""
"15.80s","WhiteCard","(10,104,340,673)","#4E4B4E","","No",""
"15.90s","Header","(0,0,360,101)","#8A0002","","No",""
"15.90s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"16.00s","Header","(0,0,360,101)","#8A0002","","No",""
"16.00s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.10s","Header","(0,0,360,101)","#8A0002","","No",""
"16.10s","WhiteCard","(10,104,340,48)","#FFFDFF","","No",""
"16.10s","WhiteCard","(10,156,340,621)","#FFFDFF","","No",""
"16.20s","Header","(0,0,360,103)","#8A0002","","No",""
"16.20s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.30s","Header","(0,0,360,103)","#8A0002","","No",""
"16.30s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.40s","Header","(0,0,360,103)","#8A0002","","No",""
"16.40s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.50s","Header","(0,0,360,103)","#8A0002","","No",""
"16.50s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.60s","Header","(0,0,360,101)","#8A0002","","No",""
"16.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"16.70s","Header","(0,0,360,103)","#8A0002","","No",""
"16.70s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.80s","Header","(0,0,360,101)","#8A0002","","No",""
"16.80s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"16.90s","Header","(0,0,360,101)","#8A0002","","No",""
"16.90s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"17.00s","Header","(0,0,360,101)","#8A0002","","No",""
"17.00s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"17.10s","Header","(0,0,360,101)","#8A0002","","No",""
"17.10s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"17.20s","Header","(0,0,360,101)","#8A0002","","No",""
"17.20s","WhiteCard","(10,104,340,664)","#FFFDFF","","No",""
"17.30s","Header","(0,0,360,101)","#8A0002","","No",""
"17.30s","WhiteCard","(10,104,340,673)","#F6F3F6","","No",""
"17.40s","Header","(0,0,360,101)","#8A0002","","No",""
"17.40s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"17.50s","Header","(0,0,360,101)","#8A0002","","No",""
"17.50s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"17.60s","Header","(0,0,360,103)","#8A0002","","No",""
"17.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"17.70s","Header","(0,0,360,103)","#8A0002","","No",""
"17.70s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"17.70s","WhiteCard","(10,164,340,613)","#FFFDFF","","No",""
"17.80s","Header","(0,0,360,103)","#8A0002","","No",""
"17.80s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"17.80s","WhiteCard","(10,164,340,613)","#FFFDFF","","No",""
"17.90s","Header","(0,0,360,103)","#8A0002","","No",""
"17.90s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"17.90s","WhiteCard","(10,164,340,613)","#FFFDFF","","No",""
"18.00s","Header","(0,0,360,103)","#8A0002","","No",""
"18.00s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"18.00s","WhiteCard","(10,164,340,613)","#FFFDFF","","No",""
"18.10s","Header","(0,0,360,103)","#8A0002","","No",""
"18.10s","WhiteCard","(10,104,340,56)","#FFFDFF","","No",""
"18.10s","WhiteCard","(10,164,340,613)","#FFFDFF","","No",""
"18.20s","Header","(0,0,360,103)","#8A0002","","No",""
"18.20s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.30s","Header","(0,0,360,103)","#8A0002","","No",""
"18.30s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.40s","Header","(0,0,360,103)","#8A0002","","No",""
"18.40s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.50s","Header","(0,0,360,103)","#8A0002","","No",""
"18.50s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.60s","Header","(0,0,360,103)","#8A0002","","No",""
"18.60s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.70s","Header","(0,0,360,103)","#8A0002","","No",""
"18.70s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.80s","Header","(0,0,360,103)","#8A0002","","No",""
"18.80s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"18.90s","Header","(0,0,360,103)","#8A0002","","No",""
"18.90s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.00s","Header","(0,0,360,103)","#8A0002","","No",""
"19.00s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.10s","Header","(0,0,360,103)","#8A0002","","No",""
"19.10s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.20s","Header","(0,0,360,103)","#8A0002","","No",""
"19.20s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.30s","Header","(0,0,360,103)","#8A0002","","No",""
"19.30s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.40s","Header","(0,0,360,103)","#8A0002","","No",""
"19.40s","WhiteCard","(10,104,340,673)","#FFFDFF","","No",""
"19.50s","Header","(0,0,360,113)","#860003","","No",""
"19.50s","WhiteCard","(10,124,340,28)","#FFFBF9","","No",""
"19.50s","WhiteCard","(10,184,340,28)","#FFFBF7","","No",""
"19.50s","WhiteCard","(10,228,340,60)","#F6FFFF","","No",""
"19.50s","WhiteCard","(10,296,340,112)","#FFFDFF","","No",""
"19.50s","WhiteCard","(10,416,340,28)","#FAF9FB","","No",""
"19.50s","WhiteCard","(10,448,340,300)","#310001","","No",""
"19.60s","Header","(0,0,360,113)","#DA4914","","No",""
"19.60s","WhiteCard","(10,124,340,52)","#CEC8C4","","No",""
"19.60s","WhiteCard","(10,188,340,24)","#FBF5E9","","No",""
"19.60s","WhiteCard","(10,228,340,44)","#F3F0F3","","No",""
"19.60s","WhiteCard","(10,308,340,24)","#EAE7EA","","No",""
"19.60s","WhiteCard","(10,336,340,72)","#FFFDFF","","No",""
"19.60s","WhiteCard","(10,416,340,116)","#FCEFF4","","No",""
"19.60s","WhiteCard","(10,536,340,212)","#5B5A5C","","No",""
"19.70s","Header","(0,0,360,113)","#D12326","","No",""
"19.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"19.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"19.70s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"19.70s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"19.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"19.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"19.80s","Header","(0,0,360,113)","#D12326","","No",""
"19.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"19.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"19.80s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"19.80s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"19.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"19.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"19.90s","Header","(0,0,360,113)","#D12326","","No",""
"19.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"19.90s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"19.90s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"19.90s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"19.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"19.90s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.00s","Header","(0,0,360,113)","#D12326","","No",""
"20.00s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.00s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.00s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.00s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.10s","Header","(0,0,360,113)","#D12326","","No",""
"20.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.10s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.10s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.10s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.20s","Header","(0,0,360,113)","#D12326","","No",""
"20.20s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.20s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.20s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.20s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.20s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.30s","Header","(0,0,360,113)","#D12326","","No",""
"20.30s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.30s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.30s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.30s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.30s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.30s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.40s","Header","(0,0,360,113)","#D12326","","No",""
"20.40s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.40s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.40s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.40s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.40s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.50s","Header","(0,0,360,113)","#D12326","","No",""
"20.50s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.50s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.50s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.50s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.60s","Header","(0,0,360,113)","#D12326","","No",""
"20.60s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.60s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.60s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.70s","Header","(0,0,360,113)","#D12326","","No",""
"20.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.70s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.70s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.80s","Header","(0,0,360,113)","#D12326","","No",""
"20.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"20.80s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.80s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"20.90s","Header","(0,0,360,113)","#D12326","","No",""
"20.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"20.90s","WhiteCard","(10,188,340,24)","#FAF4EA","","No",""
"20.90s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"20.90s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"20.90s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"20.90s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.00s","Header","(0,0,360,113)","#D12326","","No",""
"21.00s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.00s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.00s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"21.00s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"21.00s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.00s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.10s","Header","(0,0,360,113)","#D12326","","No",""
"21.10s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.10s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.10s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"21.10s","WhiteCard","(10,308,340,100)","#FDFAFD","","No",""
"21.10s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.10s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.20s","Header","(0,0,360,113)","#D12326","","No",""
"21.20s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.20s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.20s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"21.20s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"21.20s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.20s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.20s","PrimaryButton","(10,268,340,40)","#FFFDFF","","No",""
"21.30s","Header","(0,0,360,113)","#D12326","","No",""
"21.30s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.30s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.30s","WhiteCard","(10,228,340,44)","#E4E1E4","","No",""
"21.30s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"21.30s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.30s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.30s","PrimaryButton","(10,267,340,41)","#FFFDFF","","No",""
"21.40s","Header","(0,0,360,113)","#D12326","","No",""
"21.40s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.40s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.40s","WhiteCard","(10,228,340,76)","#FFFBFA","","No",""
"21.40s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"21.40s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.40s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.50s","Header","(0,0,360,113)","#D92B2E","","No",""
"21.50s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.50s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.50s","WhiteCard","(10,228,340,180)","#FCFFFF","","No",""
"21.50s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.50s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.60s","Header","(0,0,360,113)","#D02225","","No",""
"21.60s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.60s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.60s","WhiteCard","(10,228,340,180)","#F7FFFF","","No",""
"21.60s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.60s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.70s","Header","(0,0,360,113)","#D12326","","No",""
"21.70s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.70s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.70s","WhiteCard","(10,228,340,52)","#FFFDFF","","No",""
"21.70s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"21.70s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.70s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.80s","Header","(0,0,360,113)","#D02225","","No",""
"21.80s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
"21.80s","WhiteCard","(10,188,340,24)","#FAF3EC","","No",""
"21.80s","WhiteCard","(10,228,340,48)","#383538","","No",""
"21.80s","WhiteCard","(10,308,340,100)","#FFFDFF","","No",""
"21.80s","WhiteCard","(10,416,340,228)","#F1F0F2","","No",""
"21.80s","WhiteCard","(10,648,340,100)","#F6F5F7","","No",""
"21.90s","Header","(0,0,360,113)","#D02225","","No",""
"21.90s","WhiteCard","(10,124,340,60)","#B1AAA3","","No",""
